2025-04-13T13:45:35.491450,S7: 0.14,-1.94,-0.43
2025-04-13T13:45:35.492451,S8: 0.14,-1.95,-0.43
2025-04-13T13:45:35.505450,S9: 0.14,-1.94,-0.43
2025-04-13T13:45:35.506450,S10: 0.15,-1.94,-0.42
2025-04-13T13:45:35.507451,S11: 0.14,-1.92,-0.41
2025-04-13T13:45:35.521451,S12: 0.15,-1.94,-0.43
2025-04-13T13:45:35.522453,S13: 0.14,-1.96,-0.42
2025-04-13T13:45:35.523454,S14: 0.15,-1.94,-0.42
2025-04-13T13:45:35.550455,S15: 0.14,-1.95,-0.43
2025-04-13T13:45:35.552457,S16: 0.14,-1.94,-0.44
2025-04-13T13:45:35.553457,S17: 0.14,-1.93,-0.43
2025-04-13T13:45:35.554458,S18: 0.14,-1.94,-0.42
2025-04-13T13:45:35.555457,S20: 0.15,-1.92,-0.42
2025-04-13T13:45:35.565974,S21: 0.13,-1.92,-0.42
2025-04-13T13:45:35.567977,S22: 0.14,-1.93,-0.42
2025-04-13T13:45:35.568974,S23: 0.14,-1.95,-0.43
2025-04-13T13:45:35.580970,S24: 0.13,-1.93,-0.42
2025-04-13T13:45:35.581972,S25: 0.15,-1.94,-0.43
2025-04-13T13:45:35.582971,S26: 0.14,-1.94,-0.42
2025-04-13T13:45:35.595971,S27: 0.15,-1.92,-0.42
2025-04-13T13:45:35.596970,S28: 0.13,-1.93,-0.43
2025-04-13T13:45:35.611970,S29: 0.13,-1.94,-0.43
2025-04-13T13:45:35.612977,S30: 0.13,-1.94,-0.42
2025-04-13T13:45:35.625972,S31: 0.14,-1.93,-0.42
2025-04-13T13:45:35.639972,S32: 0.14,-1.94,-0.43
2025-04-13T13:45:35.641980,S33: 0.13,-1.93,-0.43
2025-04-13T13:45:35.642981,S34: 0.14,-1.93,-0.44
2025-04-13T13:45:35.643981,S35: 0.13,-1.92,-0.42
2025-04-13T13:45:35.645983,S37: 0.14,-1.93,-0.43
2025-04-13T13:45:35.656488,S38: 0.13,-1.94,-0.43
2025-04-13T13:45:35.657498,S39: 0.13,-1.93,-0.44
2025-04-13T13:45:35.671499,S40: 0.13,-1.93,-0.43
2025-04-13T13:45:35.822047,S1: 0.14,-1.93,-0.43
2025-04-13T13:45:35.823047,S2: 0.14,-1.94,-0.42
2025-04-13T13:45:35.824049,S3: 0.13,-1.93,-0.43
2025-04-13T13:45:35.825051,S4: 0.16,-1.93,-0.41
2025-04-13T13:45:35.882569,S5: 0.14,-1.94,-0.42
2025-04-13T13:45:35.883570,S6: 0.14,-1.93,-0.43
2025-04-13T13:45:35.884570,S7: 0.14,-1.93,-0.41
2025-04-13T13:45:35.942548,S9: 0.14,-1.93,-0.42
2025-04-13T13:45:35.943515,S10: 0.13,-1.94,-0.43
